open_time,open,high,low,close,volume
1700000000000,60000.00,60080.00,59920.00,60000.00,100.00
1700003600000,60394.00,60487.09,60314.00,60407.09,103.50
1700007200000,60783.79,60888.52,60703.79,60808.52,107.00
1700010800000,61165.11,61278.77,61085.11,61198.77,110.50
1700014400000,61533.62,61652.50,61453.62,61572.50,114.00
1700018000000,61884.87,62004.69,61804.87,61924.69,117.50
1700021600000,62214.37,62330.74,62134.37,62250.74,121.00
1700025200000,62517.63,62626.55,62437.63,62546.55,124.50
1700028800000,62790.28,62888.57,62710.28,62808.57,128.00
1700032400000,63028.27,63113.91,62948.27,63033.91,131.50
1700036000000,63227.99,63307.99,63140.36,63220.36,135.00
1700039600000,63386.50,63466.50,63286.44,63366.44,138.50
1700043200000,63501.70,63581.70,63391.43,63471.43,142.00
1700046800000,63572.50,63652.50,63455.34,63535.34,145.50
1700050400000,63598.94,63678.94,63478.98,63558.98,149.00
1700054000000,63582.22,63662.22,63463.86,63543.86,152.50
1700057600000,63524.73,63604.73,63412.19,63492.19,156.00
1700061200000,63429.98,63509.98,63326.85,63406.85,100.00
1700064800000,63302.44,63382.44,63211.26,63291.26,103.50
1700068400000,63147.39,63229.39,63067.39,63149.39,107.00
1700072000000,62970.65,63065.61,62890.65,62985.61,110.50
1700075600000,62778.35,62884.63,62698.35,62804.63,114.00
1700079200000,62576.68,62691.38,62496.68,62611.38,117.50
1700082800000,62371.62,62490.92,62291.62,62410.92,121.00
1700086400000,62168.77,62288.34,62088.77,62208.34,124.50
1700090000000,61973.16,62088.65,61893.16,62008.65,128.00
1700093600000,61789.15,61896.66,61709.15,61816.66,131.50
1700097200000,61620.39,61716.88,61540.39,61636.88,135.00
1700100800000,61469.81,61553.47,61389.81,61473.47,138.50
1700104400000,61339.67,61419.67,61250.09,61330.09,142.00
1700108000000,61231.66,61311.66,61129.90,61209.90,145.50
1700111600000,61146.95,61226.95,61035.40,61115.40,149.00
1700115200000,61086.35,61166.35,60968.49,61048.49,152.50
1700118800000,61050.34,61130.34,60930.34,61010.34,156.00
1700122400000,61039.15,61119.15,60921.41,61001.41,100.00
1700126000000,61052.77,61132.77,60941.44,61021.44,103.50
1700129600000,61090.92,61170.92,60989.46,61069.46,107.00
1700133200000,61153.02,61233.02,61063.78,61143.78,110.50
1700136800000,61238.09,61322.10,61158.09,61242.10,114.00
1700140400000,61344.65,61441.45,61264.65,61361.45,117.50
1700144000000,61470.62,61578.38,61390.62,61498.38,121.00
1700147600000,61613.27,61728.93,61533.27,61648.93,124.50
1700151200000,61769.14,61888.77,61689.14,61808.77,128.00
1700154800000,61934.04,62053.27,61854.04,61973.27,131.50
1700158400000,62103.11,62217.64,62023.11,62137.64,135.00
1700162000000,62270.94,62376.95,62190.94,62296.95,138.50
1700165600000,62431.71,62526.34,62351.71,62446.34,142.00
1700169200000,62579.39,62661.04,62499.39,62581.04,145.50
1700172800000,62708.03,62788.03,62616.51,62696.51,149.00
1700176400000,62811.96,62891.96,62708.54,62788.54,152.50
1700180000000,62886.07,62966.07,62773.34,62853.34,156.00
1700183600000,62926.06,63006.06,62807.60,62887.60,100.00
1700187200000,62928.56,63008.56,62808.62,62888.62,103.50
1700190800000,62891.34,62971.34,62774.31,62854.31,107.00
1700194400000,62813.30,62893.30,62703.27,62783.27,110.50
1700198000000,62694.56,62774.56,62594.82,62674.82,114.00
1700201600000,62536.31,62616.31,62449.04,62529.04,117.50
1700205200000,62340.74,62426.74,62260.74,62346.74,121.00
1700208800000,62110.88,62209.48,62030.88,62129.48,124.50
1700212400000,61850.37,61959.54,61770.37,61879.54,128.00
1700216000000,61563.34,61679.86,61483.34,61599.86,131.50
1700219600000,61254.17,61374.01,61174.17,61294.01,135.00
1700223200000,60927.35,61046.14,60847.35,60966.14,138.50
1700226800000,60587.39,60700.86,60507.39,60620.86,142.00
1700230400000,60238.70,60343.16,60158.70,60263.16,145.50
1700234000000,59885.61,59978.37,59805.61,59898.37,149.00
1700237600000,59532.33,59612.33,59451.98,59531.98,152.50
1700241200000,59183.02,59263.02,59089.60,59169.60,156.00
1700244800000,58841.82,58921.82,58736.81,58816.81,100.00
1700248400000,58512.92,58592.92,58399.07,58479.07,103.50
1700252000000,58200.58,58280.58,58081.62,58161.62,107.00
1700255600000,57909.14,57989.14,57789.36,57869.36,110.50
1700259200000,57643.00,57723.00,57526.78,57606.78,114.00
1700262800000,57406.53,57486.53,57297.85,57377.85,117.50
1700266400000,57203.94,57283.94,57105.96,57185.96,121.00
1700270000000,57039.16,57119.16,56953.86,57033.86,124.50
1700273600000,56915.61,57003.58,56835.61,56923.58,128.00
1700277200000,56836.08,56936.43,56756.08,56856.43,131.50
1700280800000,56802.45,56912.95,56722.45,56832.95,135.00
1700284400000,56815.62,56932.91,56735.62,56852.91,138.50
1700288000000,56875.35,56995.33,56795.35,56915.33,142.00
1700291600000,56980.21,57098.47,56900.21,57018.47,145.50
1700295200000,57127.58,57239.90,57047.58,57159.90,149.00
1700298800000,57313.73,57416.56,57233.73,57336.56,152.50
1700302400000,57533.95,57624.78,57453.95,57544.78,156.00
1700306000000,57782.74,57862.74,57700.38,57780.38,100.00
1700309600000,58054.06,58134.06,57958.77,58038.77,103.50
1700313200000,58341.55,58421.55,58235.01,58315.01,107.00
1700316800000,58638.82,58718.82,58523.94,58603.94,110.50
1700320400000,58939.65,59019.65,58820.29,58900.29,114.00
1700324000000,59238.26,59318.26,59118.74,59198.74,117.50
1700327600000,59529.39,59609.39,59414.07,59494.07,121.00
1700331200000,59808.50,59888.50,59701.25,59781.25,124.50
1700334800000,60071.72,60151.72,59975.56,60055.56,128.00
1700338400000,60315.93,60395.93,60232.63,60312.63,131.50
1700342000000,60538.67,60628.60,60458.67,60548.60,135.00
1700345600000,60738.06,60840.12,60658.06,60760.12,138.50
